"filename", "language", "Python", "pip requirements", "JSON", "JavaScript", "CSS", "XML", "Django HTML", "Markdown", "Shell Script", "comment", "blank", "total"
"e:\Django\Amizone-Backend\amizone\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Django\Amizone-Backend\amizone\asgi.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"e:\Django\Amizone-Backend\amizone\settings.py", "Python", 78, 0, 0, 0, 0, 0, 0, 0, 0, 8, 20, 106
"e:\Django\Amizone-Backend\amizone\urls.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"e:\Django\Amizone-Backend\amizone\wsgi.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 19
"e:\Django\Amizone-Backend\build.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 5, 17
"e:\Django\Amizone-Backend\manage.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 23
"e:\Django\Amizone-Backend\requirements.txt", "pip requirements", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\css\autocomplete.css", "CSS", 0, 0, 0, 0, 230, 0, 0, 0, 0, 0, 50, 280
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\css\base.css", "CSS", 0, 0, 0, 0, 932, 0, 0, 0, 0, 32, 216, 1180
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\css\changelists.css", "CSS", 0, 0, 0, 0, 273, 0, 0, 0, 0, 8, 63, 344
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\css\dark_mode.css", "CSS", 0, 0, 0, 0, 96, 0, 0, 0, 0, 6, 29, 131
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\css\dashboard.css", "CSS", 0, 0, 0, 0, 21, 0, 0, 0, 0, 2, 7, 30
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\css\forms.css", "CSS", 0, 0, 0, 0, 399, 0, 0, 0, 0, 12, 102, 513
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\css\login.css", "CSS", 0, 0, 0, 0, 49, 0, 0, 0, 0, 1, 12, 62
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\css\nav_sidebar.css", "CSS", 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 26, 151
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\css\responsive.css", "CSS", 0, 0, 0, 0, 723, 0, 0, 0, 0, 31, 214, 968
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\css\responsive_rtl.css", "CSS", 0, 0, 0, 0, 87, 0, 0, 0, 0, 2, 23, 112
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\css\rtl.css", "CSS", 0, 0, 0, 0, 221, 0, 0, 0, 0, 8, 63, 292
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\css\unusable_password_field.css", "CSS", 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 4, 20
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\css\vendor\select2\LICENSE-SELECT2.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\css\vendor\select2\select2.css", "CSS", 0, 0, 0, 0, 425, 0, 0, 0, 0, 0, 57, 482
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\css\vendor\select2\select2.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\css\widgets.css", "CSS", 0, 0, 0, 0, 485, 0, 0, 0, 0, 9, 100, 594
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\img\calendar-icons.svg", "XML", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 1, 64
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\img\gis\move_vertex_off.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\img\gis\move_vertex_on.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\img\icon-addlink.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\img\icon-alert.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\img\icon-calendar.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\img\icon-changelink.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\img\icon-clock.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\img\icon-deletelink.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\img\icon-hidelink.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\img\icon-no.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\img\icon-unknown-alt.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\img\icon-unknown.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\img\icon-viewlink.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\img\icon-yes.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\img\inline-delete.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\img\search.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\img\selector-icons.svg", "XML", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 1, 35
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\img\sorting-icons.svg", "XML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\img\tooltag-add.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\img\tooltag-arrowright.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\SelectBox.js", "JavaScript", 0, 0, 0, 111, 0, 0, 0, 0, 0, 5, 1, 117
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\SelectFilter2.js", "JavaScript", 0, 0, 0, 235, 0, 0, 0, 0, 0, 28, 24, 287
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\actions.js", "JavaScript", 0, 0, 0, 175, 0, 0, 0, 0, 0, 9, 21, 205
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\admin\DateTimeShortcuts.js", "JavaScript", 0, 0, 0, 317, 0, 0, 0, 0, 0, 65, 27, 409
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\admin\RelatedObjectLookups.js", "JavaScript", 0, 0, 0, 205, 0, 0, 0, 0, 0, 13, 23, 241
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\autocomplete.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 2, 4, 34
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\calendar.js", "JavaScript", 0, 0, 0, 196, 0, 0, 0, 0, 0, 28, 16, 240
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\cancel.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 3, 30
